country;date;value;Name
Ecuador (inc); 2011;0,10261;P90vsP10
Ecuador (inc); 2012;0,10088;P90vsP10
Ecuador (inc); 2013;0,10849;P90vsP10
Ecuador (inc); 2014;0,11625;P90vsP10
Ecuador (inc); 2015;0,10645;P90vsP10
Ecuador (inc); 2016;0,10835;P90vsP10
Egypt (cons); 1991;0,25391;P90vsP10
Egypt (cons); 1996;0,27505;P90vsP10
Egypt (cons); 2000;0,24834;P90vsP10
Egypt (cons); 2004;0,25171;P90vsP10
Egypt (cons); 2008;0,25645;P90vsP10
Egypt (cons); 2010;0,25462;P90vsP10
Egypt (cons); 2012;0,26897;P90vsP10
Egypt (cons); 2015;0,25277;P90vsP10
El Salvador (inc); 1991;0,04104;P90vsP10
El Salvador (inc); 1995;0,07618;P90vsP10
El Salvador (inc); 1996;0,07288;P90vsP10
El Salvador (inc); 1998;0,02919;P90vsP10
Gambia (cons); 2003;0,11687;P90vsP10
El Salvador (inc); 1999;0,03846;P90vsP10
El Salvador (inc); 2000;0,06827;P90vsP10
El Salvador (inc); 2001;0,0623;P90vsP10
El Salvador (inc); 2002;0,06033;P90vsP10
El Salvador (inc); 2003;0,04892;P90vsP10
El Salvador (inc); 2004;0,07706;P90vsP10
El Salvador (inc); 2005;0,08466;P90vsP10
El Salvador (inc); 2006;0,11432;P90vsP10
El Salvador (inc); 2007;0,12645;P90vsP10
El Salvador (inc); 2008;0,11258;P90vsP10
El Salvador (inc); 2009;0,11778;P90vsP10
El Salvador (inc); 2010;0,12934;P90vsP10
El Salvador (inc); 2011;0,14092;P90vsP10
El Salvador (inc); 2012;0,14341;P90vsP10
El Salvador (inc); 2013;0,13791;P90vsP10
El Salvador (inc); 2014;0,14706;P90vsP10
El Salvador (inc); 2015;0,15718;P90vsP10
El Salvador (inc); 2016;0,15408;P90vsP10
Estonia (cons); 1995;0,24846;P90vsP10
Estonia (cons); 1998;0,19586;P90vsP10
Estonia (cons); 2000;0,18523;P90vsP10
Estonia (cons); 2001;0,18781;P90vsP10
Estonia (cons); 2002;0,18802;P90vsP10
Estonia (cons); 2003;0,18553;P90vsP10
Estonia (cons); 2004;0,18784;P90vsP10
Estonia (inc); 1993;0,16486;P90vsP10
Estonia (inc); 2003;0,14597;P90vsP10
Estonia (inc); 2004;0,18246;P90vsP10
Estonia (inc); 2005;0,19101;P90vsP10
Estonia (inc); 2006;0,19377;P90vsP10
Estonia (inc); 2007;0,21887;P90vsP10
Estonia (inc); 2008;0,20917;P90vsP10
Estonia (inc); 2009;0,2061;P90vsP10
Estonia (inc); 2010;0,19013;P90vsP10
Estonia (inc); 2011;0,19179;P90vsP10
Estonia (inc); 2012;0,19065;P90vsP10
Estonia (inc); 2013;0,16975;P90vsP10
Estonia (inc); 2014;0,17394;P90vsP10
Estonia (inc); 2015;0,19944;P90vsP10
Eswatini (cons); 1995;0,05914;P90vsP10
Eswatini (cons); 2001;0,11376;P90vsP10
Eswatini (cons); 2009;0,09691;P90vsP10
Ethiopia (Rural) (cons); 1981;0,24119;P90vsP10
Ethiopia (cons); 1995;0,15807;P90vsP10
Ethiopia (cons); 2000;0,26029;P90vsP10
Ethiopia (cons); 2005;0,27144;P90vsP10
Ethiopia (cons); 2011;0,21439;P90vsP10
Ethiopia (cons); 2016;0,17081;P90vsP10
Fiji (cons); 2003;0,1814;P90vsP10
Fiji (cons); 2009;0,17178;P90vsP10
Fiji (cons); 2013;0,20414;P90vsP10
Finland (inc); 2003;0,27566;P90vsP10
Finland (inc); 2004;0,27656;P90vsP10
Finland (inc); 2005;0,28184;P90vsP10
Finland (inc); 2006;0,27304;P90vsP10
Finland (inc); 2007;0,26865;P90vsP10
Finland (inc); 2008;0,27029;P90vsP10
Finland (inc); 2009;0,27627;P90vsP10
Finland (inc); 2010;0,27242;P90vsP10
Finland (inc); 2011;0,27338;P90vsP10
Finland (inc); 2012;0,28138;P90vsP10
Finland (inc); 2013;0,27802;P90vsP10
